Company,PendingClearances,LastMonthSalary_BDT
Akij Cement Company Ltd.,449,12165483
Akij Essentials Ltd.,202,6818570
Akij Ispat Limited,129,3990021
Akij Poly Fibre Industries Ltd.,101,1862459
Akij Light Engineering Limited,98,2286534
Akij Ready Mix Concrete Ltd,80,1619485
Akij Resource,71,6797564
Akij Agro Feed Ltd.,69,2456482
Blue Pill Limited,50,2266562
Hashem Rice Mills Ltd.,43,939315
Akij Air Service Ltd.,33,449398
AKIJ Telecom Limited,29,872793
Bongo Traders Ltd,28,658914
Akij Shipping Line Ltd.,21,888487
Akij Building Solutions Limited,20,747175
Akij Logistics Ltd.,19,770259
Kafil And Razzak Agro Ltd.,16,501203
AKIJ LifeCare Ltd.,15,236920
Akij InfoTech Ltd.,15,682800
Akij Shipping Lines Ltd.,13,485366
Akij Broadcast Media Ltd.,12,555912
M/S The Successors,12,231961
Fariq Agro Ltd.,9,199134
Akij Commodities Ltd.,8,265761
Akij Mediplex Limited,7,230569
Nobayon Traders Ltd.,5,312960
Magnum Steel Industries Limited,5,48910
iBOS Limited,4,1003
Akij Landmark Limited,2,454500
Nextjobz Limited,2,65000
South Asia Travel & Hajj Service,2,77008
Akij Resources Ltd,2,171616
AKIJ Consumer Electronics Limited,1,212908
Farias Agro Essence,1,0
Akij Consulting Limited.,1,50000
Daily Trading Company Ltd,1,14126
Akij Engineering Ltd.,1,39994
Resource WindLine Limited,1,165000
AKIJ Automobile Industries Ltd.,1,45840
